noOfCharacters,noOfWords,noOfUniqueWords,sentCount,noOfCommas,noOfSemicolons,noOfQuestions,noOfExclamation,noOfSpellErrors,meanWorldLength,avgWordLength,avgSentenceLength,stdDeviationSentence,noOfNounCount,noOfVerbCount,noOfAdjCount,noOfAdvCount,keywordRelevance,score
987,122,95,15,3,3,0,0,5,0,0.021052631578947368,12.666666666666666,8.030497424748289,49,21,14,1,6,7.0
220,29,25,3,0,0,0,0,0,0,0.024390243902439025,13.666666666666666,4.027681991198191,13,6,2,0,6,2.0
1450,181,118,14,0,0,0,0,10,0,0.014234875444839857,20.071428571428573,8.145676203749233,56,37,23,16,5,8.0
758,91,70,8,2,2,0,0,3,0,0.02127659574468085,17.625,5.61109392186586,37,20,7,2,5,6.0
1549,211,92,27,4,4,0,0,6,0,0.019801980198019802,11.222222222222221,3.8904758666692443,96,34,24,7,10,8.0
1614,210,144,20,11,11,3,0,14,0,0.012698412698412698,15.75,5.864085606469264,74,41,24,14,5,8.0
1623,197,103,11,6,6,0,0,9,0,0.012903225806451613,28.181818181818183,18.482513513727618,61,48,28,7,15,8.0
1633,217,147,18,6,6,0,2,24,0,0.012618296529968454,17.61111111111111,7.602184546335561,72,45,28,13,10,8.0
2775,354,223,32,21,21,5,0,21,0,0.007220216606498195,17.3125,8.607545744868277,118,62,40,32,18,11.0
1803,217,139,27,6,6,2,0,11,0,0.012578616352201259,11.777777777777779,4.166296279833928,73,39,31,12,15,6.0
472,61,50,4,1,1,0,0,4,0,0.10843373493975904,20.75,11.233320969330485,22,9,5,6,4,5.0
2734,350,193,12,5,5,0,0,11,0,0.007029876977152899,47.416666666666664,18.122078308577695,85,79,26,38,7,9.0
1294,167,124,15,2,2,0,0,10,0,0.016877637130801686,15.8,6.8527366796047255,64,34,21,10,9,7.0
2167,270,184,27,20,20,0,0,18,0,0.009411764705882352,15.74074074074074,7.095082243631552,83,64,20,16,10,8.0
2251,289,211,28,26,26,1,1,36,0,0.009592326139088728,14.892857142857142,9.596648543387746,105,60,35,10,21,10.0
1348,149,98,10,7,7,0,1,10,0,0.012605042016806723,23.8,9.495261976375375,46,28,21,17,2,8.0
2852,303,226,21,11,11,0,0,9,0,0.008547008547008548,22.285714285714285,12.593054991288072,133,48,40,18,10,10.0
1674,192,141,23,8,8,1,0,11,0,0.006968641114982578,12.478260869565217,5.955410877055903,75,39,33,5,9,9.0
1047,134,97,14,7,7,0,0,11,0,0.020202020202020204,14.142857142857142,6.1858957413174185,48,35,5,15,7,7.0
2347,285,181,21,8,8,0,1,12,0,0.0069767441860465115,20.476190476190474,12.882690666971,94,56,42,12,9,8.0
403,47,42,6,4,4,0,0,4,0,0.058823529411764705,11.333333333333334,2.748737083745107,21,8,6,0,6,4.0
1681,201,140,23,9,9,1,0,6,0,0.006557377049180328,13.26086956521739,6.284676957588802,73,49,28,13,10,8.0
1472,189,105,14,7,7,0,0,13,0,0.0035335689045936395,20.214285714285715,6.656667671575314,69,52,28,4,13,8.0
1538,189,111,17,11,11,0,0,8,0,0.014084507042253521,16.705882352941178,7.4103640133051885,58,42,17,5,7,8.0
1079,137,85,6,0,0,0,0,2,0,0.018518518518518517,36.0,24.528894525980306,44,31,14,9,11,7.0
2258,266,169,22,14,14,0,0,20,0,0.009501187648456057,19.136363636363637,9.00654032328959,79,59,28,18,11,9.0
2114,250,178,25,17,17,3,0,20,0,0.01881720430107527,14.88,6.760591690081572,79,60,32,29,8,9.0
1598,200,121,20,13,13,2,0,21,0,0.00684931506849315,14.6,7.323933369440222,85,38,23,8,11,8.0
2190,259,195,33,18,18,1,0,18,0,0.010050251256281407,12.06060606060606,5.498977281989992,99,56,24,22,13,9.0
1217,158,121,14,15,15,0,0,11,0,0.016736401673640166,17.071428571428573,7.657529307945273,50,43,15,9,5,7.0
2288,266,197,27,19,19,3,0,17,0,0.01,14.814814814814815,7.408888740770364,98,46,32,14,9,12.0
2312,288,174,20,10,10,1,0,12,0,0.020785219399538105,21.65,12.947103923271799,100,63,18,16,14,10.0
3147,351,241,24,37,37,0,0,27,0,0.009560229445506692,21.791666666666668,7.516532703906029,125,76,54,20,14,10.0
1931,237,164,20,7,7,0,0,18,0,0.01092896174863388,18.3,12.276400123814797,78,43,28,16,5,8.0
1659,222,140,29,29,29,3,2,31,0,0.003278688524590164,10.517241379310345,4.643279828141492,103,46,24,11,19,7.0
2034,246,172,21,20,20,0,0,19,0,0.011527377521613832,16.523809523809526,5.315019577252371,97,48,38,12,14,8.0
1633,188,126,19,21,21,3,0,31,0,0.013745704467353952,15.31578947368421,7.15286200782925,73,37,28,11,7,8.0
2903,362,220,43,18,18,2,0,29,0,0.007677543186180422,12.116279069767442,6.358328368608395,138,70,39,18,24,10.0
2260,293,170,33,11,11,0,13,42,0,0.00980392156862745,12.363636363636363,7.078855333842158,117,56,33,27,30,10.0
1949,235,140,17,15,15,0,0,11,0,0.024193548387096774,21.88235294117647,12.91092721389488,76,35,25,18,19,10.0
2194,271,190,20,18,18,0,1,28,0,0.010230179028132993,19.55,9.494603730540838,93,54,44,25,5,8.0
1894,236,143,16,22,22,0,0,18,0,0.010899182561307902,22.9375,7.972364376394245,84,48,37,7,12,8.0
1635,196,132,22,9,9,1,0,17,0,0.0071174377224199285,12.772727272727273,4.842349337608556,68,40,16,14,15,8.0
1084,132,100,9,1,1,0,0,9,0,0.01904761904761905,23.333333333333332,7.7746025264604,42,34,11,7,4,7.0
953,128,73,11,0,0,0,0,4,0,0.00510204081632653,17.818181818181817,9.861017666624859,37,33,9,4,8,6.0
2996,367,215,31,12,12,3,0,20,0,0.007194244604316547,17.93548387096774,6.063829748391835,110,70,45,26,13,10.0
2461,296,194,27,8,8,1,0,22,0,0.009685230024213076,15.296296296296296,6.399159752798654,130,52,49,11,10,8.0
2212,283,219,38,28,28,2,3,37,0,0.022004889975550123,10.763157894736842,5.755702940865719,84,47,33,25,13,10.0
2208,277,173,19,8,8,0,5,16,0,0.009111617312072893,23.105263157894736,8.990607595193326,88,53,24,26,10,9.0
1266,156,87,29,6,6,0,0,5,0,0.03879310344827586,8.0,1.9118505207764291,51,42,11,3,7,6.0
1200,148,99,9,12,12,0,0,14,0,0.01762114537444934,25.22222222222222,19.77528074124516,63,22,16,8,7,7.0
1245,154,99,15,4,4,0,0,8,0,0.017467248908296942,15.266666666666667,12.233651222027797,60,36,12,16,5,8.0
3277,429,259,47,33,33,4,1,42,0,0.006269592476489028,13.574468085106384,12.625109531188764,148,74,51,19,25,11.0
3135,354,260,20,21,21,0,0,31,0,0.01303538175046555,26.85,10.427247959073382,148,62,45,24,8,11.0
1638,209,140,25,11,11,2,1,12,0,0.012618296529968454,12.68,7.785730537335594,70,45,24,12,9,8.0
2277,309,214,32,13,13,3,4,21,0,0.01805869074492099,13.84375,5.629772281140686,82,68,32,26,19,10.0
1225,157,123,13,10,10,0,0,9,0,0.013452914798206279,17.153846153846153,11.779030610800598,54,37,11,11,4,7.0
1585,194,150,19,6,6,0,0,15,0,0.01384083044982699,15.210526315789474,12.068135282498119,72,43,16,10,8,8.0
2274,281,210,33,22,22,0,0,35,0,0.009925558312655087,12.212121212121213,4.765771747465879,102,65,29,17,13,11.0
1694,218,173,19,10,10,2,0,22,0,0.01238390092879257,17.0,7.90735833192563,78,50,18,7,2,8.0
1095,153,101,16,4,4,3,3,15,0,0.017937219730941704,13.9375,7.110456648486087,54,40,19,4,2,7.0
2552,324,234,40,17,17,6,0,27,0,0.008639308855291577,11.575,5.607528421684548,112,83,34,31,5,10.0
1774,220,137,26,4,4,0,0,6,0,0.012084592145015106,12.73076923076923,4.603992350355306,72,48,24,13,9,8.0
2006,247,172,17,20,20,4,0,23,0,0.010256410256410256,22.941176470588236,10.513132338037671,83,53,21,15,8,9.0
2236,270,155,21,18,18,3,0,34,0,0.009708737864077669,19.61904761904762,11.672010437983642,90,64,32,13,23,10.0
2674,341,204,32,18,18,2,0,16,0,0.01727447216890595,16.28125,8.326292598599931,129,77,29,18,16,9.0
2069,245,200,27,11,11,0,0,15,0,0.01098901098901099,13.481481481481481,5.573551101343442,86,52,33,14,11,11.0
3570,424,268,52,22,22,4,0,16,0,0.006359300476947536,12.096153846153847,4.892142897563144,160,89,53,24,19,10.0
1914,242,168,20,20,20,2,0,23,0,0.0027100271002710027,18.45,9.297714772996644,91,51,22,18,11,8.0
1758,219,130,24,10,10,0,0,9,0,0.011627906976744186,14.333333333333334,8.163264597505638,74,50,24,20,2,8.0
1248,159,114,13,12,12,0,1,11,0,0.016666666666666666,18.46153846153846,8.652393040393148,60,27,30,12,5,6.0
2997,362,254,33,29,29,4,4,32,0,0.015122873345935728,16.03030303030303,7.541741815067813,123,70,54,26,11,11.0
2137,277,198,28,6,6,0,2,17,0,0.010025062656641603,14.25,6.1564426184514796,89,63,34,18,10,9.0
1754,218,150,28,7,7,0,0,12,0,0.012578616352201259,11.357142857142858,5.197625046350398,72,56,17,14,7,8.0
2283,270,179,24,16,16,0,0,19,0,0.009852216748768473,16.916666666666668,8.281086214313245,93,64,26,19,11,8.0
2343,324,193,25,8,8,2,2,17,0,0.008016032064128256,19.96,13.831789472082054,97,66,36,23,8,9.0
319,38,34,4,3,3,0,0,3,0,0.018867924528301886,13.25,8.317902379807062,12,11,6,4,4,4.0
1729,216,146,24,17,17,1,0,21,0,0.01238390092879257,13.458333333333334,4.462614766653688,71,48,27,18,20,8.0
2275,267,202,26,19,19,0,0,25,0,0.010075566750629723,15.26923076923077,7.5577657072184445,105,47,41,17,9,12.0
2478,331,248,36,34,34,6,0,39,0,0.0081799591002045,13.583333333333334,6.32620212555158,108,78,45,18,5,10.0
1909,250,149,20,5,5,1,2,10,0,0.010526315789473684,19.0,10.134100848126586,73,50,29,18,8,8.0
1691,229,151,16,10,10,1,3,29,0,0.0058823529411764705,21.25,14.241225368626115,67,48,27,16,4,8.0
2922,350,206,29,17,17,2,1,19,0,0.0075046904315197,18.379310344827587,7.189138325919409,145,70,32,22,9,9.0
2232,268,179,29,11,11,0,0,7,0,0.012224938875305624,14.10344827586207,6.33188334779497,85,56,29,20,7,10.0
1335,168,103,9,1,1,0,0,7,0,0.0036900369003690036,30.11111111111111,7.978365809340552,50,38,19,12,4,7.0
885,115,71,1,0,0,0,0,4,0,0.05142857142857143,175.0,0.0,37,27,11,9,2,5.0
1479,183,127,10,1,1,0,0,8,0,0.014336917562724014,27.9,12.87206277175496,64,37,18,13,9,8.0
2230,259,178,23,5,5,1,1,3,0,0.022058823529411766,17.73913043478261,5.847462409897193,89,55,41,14,6,9.0
2228,269,193,30,12,12,0,0,8,0,0.0049504950495049506,13.466666666666667,4.295216978091896,98,66,20,21,8,9.0
2099,275,160,25,16,16,0,1,21,0,0.004784688995215311,16.72,8.627954566407963,87,62,16,28,11,10.0
3392,425,238,38,9,9,0,0,34,0,0.00684931506849315,15.368421052631579,5.5223043084699945,140,81,60,22,17,10.0
2217,273,193,23,24,24,1,0,24,0,0.009950248756218905,17.47826086956522,4.231040217635778,98,57,35,12,6,10.0
2434,284,201,23,15,15,0,6,32,0,0.009732360097323601,17.869565217391305,5.277551703666875,105,62,38,15,13,11.0
2630,343,216,41,25,25,1,1,32,0,0.007889546351084813,12.365853658536585,7.094333353788905,111,74,53,20,13,10.0
2175,273,170,24,12,12,0,0,19,0,0.022332506203473945,16.791666666666668,11.510789021126609,91,56,33,17,17,10.0
1391,173,124,11,10,10,0,0,18,0,0.015625,23.272727272727273,12.905889487791006,71,36,14,11,10,7.0
2745,357,265,41,27,27,2,0,29,0,0.00927643784786642,13.146341463414634,6.631635105770347,120,76,35,26,4,9.0
1282,156,115,8,5,5,0,1,3,0,0.016194331983805668,30.875,17.84963234915498,70,31,12,7,4,7.0
2275,267,187,24,10,10,0,0,17,0,0.007444168734491315,16.791666666666668,10.781848815898362,99,54,32,9,13,10.0
929,122,85,12,3,3,0,0,4,0,0.02185792349726776,15.25,7.428828979051813,45,25,9,12,7,7.0
1973,248,164,26,9,9,0,0,19,0,0.011142061281337047,13.807692307692308,8.278885240683215,84,59,35,8,7,9.0
2976,366,246,30,20,20,1,4,22,0,0.007155635062611807,18.633333333333333,10.432268316249454,121,80,39,22,18,10.0
2232,249,175,23,32,32,1,0,28,0,0.005277044854881266,16.47826086956522,7.125395886590634,88,47,40,19,8,10.0
1499,202,138,19,10,10,0,0,11,0,0.013513513513513514,15.578947368421053,8.406236966954854,78,46,16,9,12,7.0
2338,293,179,31,8,8,0,1,17,0,0.008968609865470852,14.387096774193548,5.734318978913283,104,62,30,18,14,9.0
2251,248,180,24,22,22,6,0,25,0,0.0110803324099723,15.041666666666666,4.58693040666147,94,50,37,8,7,10.0
873,116,79,3,0,0,0,0,10,0,0.023121387283236993,57.666666666666664,4.189935029992179,35,21,12,7,3,6.0
3303,400,293,39,15,15,1,0,24,0,0.006837606837606838,15.0,7.407549856180171,144,78,43,28,16,12.0
1631,210,140,17,4,4,0,0,16,0,0.003278688524590164,17.941176470588236,7.580707620511536,78,47,24,12,9,9.0
2270,277,140,20,8,8,0,0,24,0,0.009302325581395349,21.5,18.136978800230207,92,56,33,10,25,8.0
1550,204,132,24,8,8,0,0,12,0,0.013559322033898305,12.291666666666666,4.6321266414274795,76,39,20,16,4,8.0
1265,158,116,7,3,3,0,0,10,0,0.016260162601626018,35.142857142857146,10.868415200920134,52,38,14,18,6,8.0
1001,119,67,11,5,5,0,0,7,0,0.023809523809523808,15.272727272727273,5.80111132128866,49,17,21,5,15,6.0
2545,311,170,28,15,15,0,2,13,0,0.006072874493927126,17.642857142857142,8.25579573786235,93,65,43,18,9,9.0
2368,285,193,31,34,34,0,1,28,0,0.009501187648456057,13.580645161290322,6.364083663347732,106,53,37,11,12,12.0
2364,295,186,28,8,8,2,2,17,0,0.009302325581395349,15.357142857142858,7.072150035346321,111,59,40,24,10,10.0
1694,221,157,26,15,15,0,1,21,0,0.011976047904191617,12.846153846153847,5.296532303108311,84,37,30,6,4,8.0
2298,283,208,25,13,13,0,0,22,0,0.009592326139088728,16.68,10.3255798868635,96,56,41,19,12,9.0
2059,247,171,25,8,8,0,0,24,0,0.011461318051575931,13.96,4.634479474547277,99,49,33,19,13,9.0
2597,328,223,37,31,31,2,1,35,0,0.015184381778741865,12.45945945945946,6.635671800831959,112,67,47,18,14,10.0
1530,183,118,21,16,16,0,0,14,0,0.014035087719298246,13.571428571428571,4.381469948723217,67,42,23,8,14,8.0
2260,269,162,29,22,22,2,0,24,0,0.00963855421686747,14.310344827586206,6.47596856436249,105,49,33,9,13,10.0
3013,359,257,29,26,26,1,6,36,0,0.00931098696461825,18.517241379310345,7.275943781204832,136,72,45,26,11,12.0
1365,166,129,22,2,2,0,0,18,0,0.03896103896103896,10.5,3.9283352939659033,69,40,19,7,10,8.0
1453,168,106,9,20,20,1,0,18,0,0.016194331983805668,27.444444444444443,10.594664392053527,68,27,26,15,18,8.0
2037,253,188,28,16,16,0,0,38,0,0.011049723756906077,12.928571428571429,5.384691073699927,87,46,39,10,18,9.0
2869,348,261,30,19,19,0,0,18,0,0.0038535645472061657,17.3,10.63688550908269,122,66,50,28,13,10.0
1640,203,141,19,13,13,1,1,11,0,0.0121580547112462,17.31578947368421,9.663020294857947,66,37,30,11,5,8.0
2499,299,182,16,15,15,3,0,28,0,0.009111617312072893,27.4375,20.15864811315481,101,63,51,24,11,9.0
914,102,88,10,10,10,0,1,9,0,0.026845637583892617,14.9,8.227393268830658,42,21,15,5,4,6.0
1700,216,138,20,3,3,0,1,9,0,0.015384615384615385,16.25,6.394333428904064,66,44,24,15,12,8.0
1589,199,101,5,1,1,0,0,2,0,0.012578616352201259,63.6,30.669854906732116,60,39,25,16,8,8.0
1290,155,102,6,0,0,0,0,6,0,0.015873015873015872,42.0,12.027745701779143,49,32,10,13,2,8.0
1371,177,121,12,20,20,0,0,23,0,0.015873015873015872,21.0,9.600347215943113,70,32,16,8,6,8.0
1835,241,184,25,3,3,0,1,32,0,0.02881844380403458,13.88,5.659116538824766,85,55,26,15,0,8.0
1748,205,162,20,7,7,0,0,7,0,0.012618296529968454,15.85,7.363932373399419,76,42,24,11,5,8.0
2103,257,191,20,17,17,0,0,21,0,0.023195876288659795,19.4,11.155267813907471,101,42,32,22,12,10.0
1593,212,148,23,10,10,0,0,13,0,0.012232415902140673,14.217391304347826,6.6329645922214535,74,40,19,10,5,8.0
1468,180,135,20,11,11,1,0,25,0,0.01593625498007968,12.55,4.09237095092808,66,42,17,6,9,8.0
1570,186,134,23,10,10,0,0,8,0,0.014598540145985401,11.91304347826087,3.091545884283683,73,29,30,6,7,8.0
2124,276,179,29,15,15,1,0,16,0,0.004739336492890996,14.551724137931034,5.034955103019029,88,55,48,14,13,10.0
2553,296,215,30,28,28,1,0,33,0,0.009174311926605505,14.533333333333333,6.21682305433321,123,56,39,19,12,10.0
1568,199,109,16,7,7,0,0,13,0,0.013468013468013467,18.5625,7.508068576538177,73,50,22,6,14,8.0
2209,259,176,25,24,24,1,0,20,0,0.010282776349614395,15.56,6.663812722458517,96,57,31,17,14,8.0
1839,242,131,16,2,2,0,0,6,0,0.0106951871657754,23.375,15.095011593238343,69,57,18,15,1,8.0
2401,301,168,28,8,8,0,0,11,0,0.008676789587852495,16.464285714285715,8.21793397244771,104,75,24,13,18,8.0
1822,223,133,22,8,8,0,0,10,0,0.012012012012012012,15.136363636363637,6.383896320540063,85,39,24,11,19,8.0
582,74,57,3,1,1,1,0,4,0,0.03571428571428571,37.333333333333336,36.718145680606234,26,17,9,2,2,5.0
2148,277,175,22,1,1,1,0,6,0,0.00980392156862745,18.545454545454547,9.745522387823561,96,63,27,16,18,9.0
746,89,73,20,2,2,3,1,8,0,0.031746031746031744,6.3,2.968164415931166,37,22,14,2,8,6.0
1819,223,168,23,21,21,2,0,16,0,0.012539184952978056,13.869565217391305,6.243635701054781,70,57,36,13,5,10.0
1383,164,111,16,6,6,0,0,11,0,0.01606425702811245,15.5625,5.841326369070641,40,42,17,20,16,8.0
2708,342,206,38,22,22,5,1,41,0,0.00625,12.631578947368421,6.986532355112263,142,67,36,20,29,11.0
2141,274,175,27,6,6,1,0,10,0,0.010101010101010102,14.666666666666666,6.206328908341752,89,47,29,21,6,8.0
2835,345,249,33,27,27,4,0,18,0,0.007751937984496124,15.636363636363637,7.737426483982987,128,70,50,19,9,10.0
638,80,71,9,5,5,1,0,12,0,0.03361344537815126,13.222222222222221,4.893936787898942,23,20,9,7,0,5.0
1884,250,146,27,5,5,0,1,10,0,0.002631578947368421,14.074074074074074,5.779439457158235,92,56,29,9,4,8.0
2527,324,207,21,13,13,0,0,15,0,0.00784313725490196,24.285714285714285,12.732197121369705,107,69,29,15,10,10.0
2337,277,185,22,17,17,0,1,15,0,0.009732360097323601,18.681818181818183,7.086391334717574,96,51,35,19,6,10.0
3718,472,303,36,42,42,3,1,40,0,0.007142857142857143,19.444444444444443,10.613001576798894,169,85,56,34,26,11.0
1901,238,137,26,3,3,0,0,6,0,0.011428571428571429,13.461538461538462,6.901676324971677,88,58,20,18,15,8.0
2160,260,198,25,7,7,0,0,12,0,0.023076923076923078,15.6,4.4,86,53,40,18,6,9.0
2088,259,177,28,8,8,0,1,15,0,0.0026666666666666666,13.392857142857142,6.084754283771658,84,54,31,18,13,8.0
2559,331,183,27,3,3,0,0,10,0,0.007858546168958742,18.85185185185185,7.99399637553872,93,77,33,30,8,10.0
1979,250,163,30,12,12,7,2,19,0,0.00819672131147541,12.2,5.03587132480567,99,53,11,10,17,10.0
3004,372,300,43,28,28,13,0,42,0,0.007246376811594203,12.837209302325581,9.044927224200109,143,71,52,31,14,10.0
2029,243,191,25,22,22,1,0,27,0,0.011204481792717087,14.28,5.674645363368534,100,45,27,9,13,10.0
1576,186,135,25,5,5,2,0,6,0,0.013937282229965157,11.48,3.899948717611553,69,35,25,11,9,8.0
911,104,61,10,8,8,1,0,9,0,0.02666666666666667,15.0,6.356099432828281,44,18,12,2,11,6.0
837,108,82,8,1,1,0,0,2,0,0.024691358024691357,20.25,14.359230480774379,39,25,14,7,6,6.0
2187,264,184,26,15,15,1,3,28,0,0.010362694300518135,14.846153846153847,8.193300770433908,94,58,45,16,9,9.0
958,122,92,12,1,1,0,1,7,0,0.015789473684210527,15.833333333333334,7.1161006800697315,40,23,14,11,3,6.0
1333,179,122,20,5,5,0,0,2,0,0.003745318352059925,13.35,6.207052440571129,67,46,12,7,6,7.0
1533,203,122,20,8,8,0,0,9,0,0.01238390092879257,16.15,8.759423497011662,66,48,14,10,4,8.0
1698,205,161,13,8,8,1,0,18,0,0.013245033112582781,23.23076923076923,13.359835594070448,74,40,26,16,12,8.0
2993,362,229,27,13,13,1,0,21,0,0.007692307692307693,19.25925925925926,9.371321866491261,148,76,54,14,23,10.0
2086,259,168,20,7,7,0,0,16,0,0.009900990099009901,20.2,11.254332499086741,85,55,27,12,11,8.0
2664,343,240,36,37,37,4,0,36,0,0.007858546168958742,14.13888888888889,10.271732456325028,107,78,35,20,13,10.0
1663,224,164,25,2,2,2,0,9,0,0.009174311926605505,13.08,3.0188739622581133,77,42,23,17,4,8.0
2024,265,179,22,10,10,2,3,20,0,0.010498687664041995,17.318181818181817,9.979006890086643,96,46,28,34,6,9.0
2254,279,218,40,13,13,0,2,45,0,0.010025062656641603,9.975,4.452457186767773,115,55,33,16,10,10.0
1141,145,111,19,6,6,0,1,8,0,0.01951219512195122,10.789473684210526,4.059802268563556,57,30,18,12,11,6.0
2323,274,202,21,20,20,0,0,21,0,0.022167487684729065,19.333333333333332,9.838376430776107,96,54,36,13,3,9.0
2199,276,176,13,20,20,0,3,24,0,0.009501187648456057,32.38461538461539,21.73454698272726,103,60,33,19,21,8.0
1773,231,141,20,3,3,0,0,15,0,0.027190332326283987,16.55,8.052794545994576,92,41,28,20,8,8.0
2814,361,244,42,18,18,0,2,18,0,0.016885553470919325,12.69047619047619,5.513999910349824,109,69,37,32,9,12.0
1347,166,110,19,8,8,2,0,10,0,0.016736401673640166,12.578947368421053,6.037739115663152,64,37,17,6,10,8.0
1964,240,153,23,9,9,0,0,11,0,0.0111731843575419,15.565217391304348,8.97739231507836,96,52,28,15,9,9.0
1516,190,108,10,20,20,0,0,27,0,0.014814814814814815,27.0,15.588457268119896,66,27,20,6,10,8.0
1424,191,135,24,4,4,1,4,15,0,0.014285714285714285,11.666666666666666,8.14793770772021,64,40,27,11,8,8.0
2365,295,185,31,14,14,5,0,22,0,0.008968609865470852,14.387096774193548,5.178600006072376,104,62,30,22,13,9.0
1508,188,141,23,5,5,0,0,10,0,0.014545454545454545,11.956521739130435,5.559779952398531,64,45,25,8,12,8.0
2960,355,268,34,35,35,4,0,36,0,0.011494252873563218,15.352941176470589,8.943885038660497,127,66,45,25,13,12.0
1140,138,117,8,6,6,0,0,40,0,0.02072538860103627,24.125,16.358770583390427,58,21,29,7,3,7.0
